xT, yT,,xX, yX,
X,Y,X,Y
0.0010131312757052486,1.0069074093219943,0.0009934983240107353,1.0000000000000002
0.0014129983120934164,1.0000000000000002,0.0016851124806860234,1.0000000000000002
0.0020096301943608205,1.0000000000000002,0.0030310032515716346,0.9931399756739849
0.002914668954575713,1.0000000000000002,0.005895738921868728,0.9399270979073875
0.004753941403479142,0.9728409731839361,0.009429838379042599,0.8419020838138929
0.00650176340085426,0.9334791751510618,0.012646868499174931,0.7336194753748039
0.008385186913565403,0.8895653895927912,0.015994328283542268,0.6261977599517325
0.012161463359708804,0.7858980627565526,0.022747858070336344,0.4921276064485592
0.016961402349258702,0.6754549870854908,0.03364435302428623,0.3660392469543027
0.026087387841628,0.5308387658297393,0.046923251877402476,0.2760302328121946
0.035678610461722646,0.44080360944355845,0.0641749352405327,0.20959223405118504
0.04976039884383113,0.3610343964602498,0.09307617487653241,0.1580535247030469
0.06805518043995197,0.29774299632393636,0.1272963244479342,0.12084042863592753
0.09307617487653241,0.238878125619697,0.1707240157264267,0.09562424340355204
0.14315527825005658,0.18013801846985394,0.25250285266698813,0.07063637452637886
0.1919933201628293,0.1475396738695182,0.3386452922080898,0.05513216943930064
0.26258109562091386,0.1191881788184767,0.4816366718734823,0.04244266938705129
0.3453374088456457,0.0996564085081329,0.6459491041863034,0.034051599650205565
0.44537436121354873,0.08275376140983728,0.9008950920779205,0.027132062584479432
0.5743899054823682,0.07063637452637886,1.2812938016245607,0.020887209296737094
0.7264233601889021,0.05825341299096801,1.752371019770507,0.01699003681327122
1.0131312757052486,0.04804125562572589,2.44400439752836,0.01344466776563985
1.3587653893116358,0.03880955959850578,3.544663969675323,0.010279172316593305
1.8223140746553503,0.03222709992778343,,
2.59177760984754,0.025327215401506828,,
3.342560834205382,0.02117675888202062,,
4.847886103412072,0.016757732231600254,,
6.630247570070379,0.013352437017712361,,
8.222694674335212,0.011319093808077663,,
9.806215125667258,0.01000000000000001,,
